respondent_id,age,gender,state,location_type,family_income,education_level,stream,board,academic_performance,career_clarity,urgency,decision_maker,primary_info_source,past_career_spend,career_domain_interest,preferred_feature,motivation,fear_score,risk_score,wtp_monthly,wtp_onetime,platform_adoption,persona_label
R0001,24,Female,Telangana,Tier-3,₹2–5L,Class 11-12,Science PCM,ICSE,80–90%,Somewhat unclear,Within 3 months,Teachers/Counsellor,Online Platforms,Coaching classes,Engineering/Tech,1-on-1 mentorship,Social status,4,2,231.0,753.0,Yes,Anxious Achiever
R0002,21,Male,Uttar Pradesh,Tier-2,₹5–10L,Class 9-10,Commerce,CBSE,Below 60%,Somewhat unclear,More than 2 years,Both equally,Family/Friends,Nothing,Education/Teaching,1-on-1 mentorship,Financial security,3,2,326.0,1373.0,Yes,Anxious Achiever
R0003,19,Female,Uttar Pradesh,Metro,Above ₹20L,Postgraduate,Not Applicable,IB,80–90%,Somewhat unclear,Within 3 months,Myself,YouTube,Coaching classes,Finance/Banking,AI career roadmap,Financial security,4,3,554.0,2533.0,Yes,Anxious Achiever
R0004,17,Male,Other,Tier-3,₹10–20L,Undergraduate,Arts/Humanities,CBSE,70–80%,Somewhat clear,1–2 years,Both equally,Family/Friends,Nothing,Arts/Design,AI career roadmap,Family expectations,4,4,435.0,1426.0,Yes,Career Switcher
R0005,19,Female,Tamil Nadu,Tier-2,₹5–10L,Class 11-12,Science PCM,CBSE,Below 60%,Somewhat clear,3–6 months,Parents,Social Media,Coaching classes,Government/UPSC,College matchmaking,Unclear,2,3,434.0,1333.0,Yes,Career Switcher
R0006,17,Female,Tamil Nadu,Tier-2,₹10–20L,Postgraduate,Science PCB,CBSE,60–70%,Somewhat clear,1–2 years,Both equally,YouTube,Online courses,Medicine/Healthcare,College matchmaking,Unclear,2,3,491.0,1740.0,Yes,Career Switcher
R0007,24,Female,Maharashtra,Tier-2,₹5–10L,Class 11-12,Science PCB,CBSE,80–90%,Somewhat unclear,Within 3 months,Parents,Social Media,Coaching classes,Arts/Design,1-on-1 mentorship,Financial security,5,4,339.0,1683.0,Yes,Anxious Achiever
R0008,19,Male,Uttar Pradesh,Tier-3,₹2–5L,Class 11-12,Science PCM,State Board,80–90%,Somewhat clear,6–12 months,Parents,YouTube,Exam prep material,Engineering/Tech,College matchmaking,Social status,4,4,303.0,1059.0,Yes,Focused Climber
R0009,17,Prefer not to say,Other,Tier-2,₹2–5L,Working Professional,Not Applicable,State Board,Above 90%,Not clear at all,6–12 months,Both equally,Online Platforms,Career counsellor,Business/Management,Scholarship finder,Social status,5,3,244.0,1129.0,No,Confused Drifter
R0010,18,Male,Uttar Pradesh,Tier-2,Above ₹20L,Class 11-12,Science PCM,State Board,60–70%,Not clear at all,1–2 years,Both equally,Family/Friends,Coaching classes,Medicine/Healthcare,Scholarship finder,Unclear,3,2,425.0,1603.0,No,Confused Drifter
R0011,20,Female,Punjab,Rural,₹2–5L,Undergraduate,Commerce,State Board,Below 60%,Somewhat unclear,3–6 months,Parents,Social Media,Career counsellor,Business/Management,1-on-1 mentorship,Financial security,5,1,227.0,881.0,Yes,Anxious Achiever
R0012,18,Female,Other,Rural,Below ₹2L,Class 11-12,Commerce,CBSE,60–70%,Somewhat unclear,3–6 months,Both equally,YouTube,Career counsellor,Business/Management,AI career roadmap,Social status,4,2,184.0,714.0,Yes,Anxious Achiever
R0013,16,Male,Madhya Pradesh,Metro,₹10–20L,Class 9-10,Commerce,State Board,80–90%,Not clear at all,3–6 months,Relatives,Online Platforms,Career counsellor,Finance/Banking,AI career roadmap,Social status,3,5,397.0,1317.0,No,Confused Drifter
R0014,16,Male,Uttar Pradesh,Rural,₹10–20L,Class 9-10,Science PCB,State Board,80–90%,Very clear,Within 3 months,Myself,Family/Friends,Career counsellor,Medicine/Healthcare,Skill assessment,Financial security,3,3,463.0,1225.0,Yes,Focused Climber
